"id","Date","Taxon","Latitude","Longitude","stateProvince","scientificName"
6315593,"2010-05-24",522193,44.4436381051,-110.7423034781,"Wyoming","Alces alces"
86855558,"2021-06-03",522193,40.3376197815,-105.5706634521,"Colorado","Alces alces"
147397314,"2022-09-12",415475,43.6540035554,-110.7140393381,"Wyoming","Alces alces shirasi"
86858736,"2021-06-26",522193,63.379482,-148.733719,"Alaska","Alces alces"
67019491,"2020-12-24",522193,61.1630455084,-150.0194066325,"Alaska","Alces alces"
147400081,"2022-07-09",522193,44.3469722222,-72.8905472222,"Vermont","Alces alces"
147400084,"2022-07-09",522193,44.3464694444,-72.8915166667,"Vermont","Alces alces"
6321273,"2002-05-04",522193,44.7719308893,-71.7421656834,"Vermont","Alces alces"
86863844,"2021-07-12",522193,59.6476533333,-151.5830833333,"Alaska","Alces alces"
6326588,"2017-05-20",522193,40.339003,-105.596208,"Colorado","Alces alces"
47147516,"2020-05-24",522193,44.7364571206,-111.2318036143,"Montana","Alces alces"
27037497,"2019-06-13",522193,48.1869224947,-88.4794980918,"Michigan","Alces alces"
47151124,"2020-05-18",522193,47.0319606341,-117.2882472629,"Washington","Alces alces"
6332047,"2017-05-12",522193,44.216517,-73.06214,"Vermont","Alces alces"
147419666,"2008-08-31",522193,61.2983030167,-149.6542973582,"Alaska","Alces alces"
6334439,"2016-09-25",522193,44.7814393,-71.1378558,"New Hampshire","Alces alces"
6334443,"2016-09-25",522193,44.7814393,-71.1378558,"New Hampshire","Alces alces"
6340445,"2017-05-23",522193,44.4361966667,-72.5097666667,"Vermont","Alces alces"
6340871,"2017-05-22",522193,46.3541833333,-111.0970694444,"Montana","Alces alces"
86890112,"2021-07-13",522193,40.5882637202,-111.6364197822,"Utah","Alces alces"
67052491,"2019-07-31",522193,48.6813214539,-113.5752717119,"Montana","Alces alces"
27056679,"2019-06-09",522193,45.0401801944,-109.4261169167,"Montana","Alces alces"
27056680,"2019-06-09",522193,45.0511169167,-109.4186248611,"Montana","Alces alces"
147438997,"2023-01-21",522193,43.4997533333,-110.8488783333,"Wyoming","Alces alces"
47174884,"2020-05-24",522193,42.9109513667,-72.1516723652,"New Hampshire","Alces alces"
127525571,"2022-07-23",522193,43.7486419678,-110.7406845093,"Wyoming","Alces alces"
106741781,"2019-09-28",522193,48.2005235581,-117.2811959175,"Washington","Alces alces"
106742071,"2019-03-10",522193,48.204579865,-117.2809227379,"Washington","Alces alces"
106744457,"2016-01-13",522193,48.2053354412,-117.2804682257,"Washington","Alces alces"
6355665,"2017-05-25",522193,44.9344093921,-72.7101697856,"Vermont","Alces alces"
106745391,"2016-09-05",522193,48.4774316062,-113.424695376,"Montana","Alces alces"
127530358,"2022-07-23",522193,43.7125312362,-110.6721547068,"Wyoming","Alces alces"
6357164,"2017-04-10",522193,40.523944,-106.0235,"Colorado","Alces alces"
6359507,"2017-05-25",522193,44.28948768,-72.23431191,"Vermont","Alces alces"
6364382,"2017-05-25",522193,44.4143383333,-72.4943833333,"Vermont","Alces alces"
47192256,"2020-05-24",1404404,43.8822816389,-71.7983318611,"New Hampshire","Alces alces americana"
127538839,"2022-07-21",522193,60.7385255749,-151.237439923,"Alaska","Alces alces"
127538911,"2022-07-20",522193,60.7376832123,-151.2161321193,"Alaska","Alces alces"
106760198,"2022-02-14",522193,46.7212033333,-117.0062166667,"Idaho","Alces alces"
27082988,"2019-06-08",522193,48.0590836508,-90.3295577463,"Minnesota","Alces alces"
27088258,"2019-06-07",522193,37.8111572266,-107.6567306519,"Colorado","Alces alces"
27093749,"2019-06-11",522193,40.2669446871,-105.8337959361,"Colorado","Alces alces"
86930610,"2021-06-26",522193,64.6422634753,-165.7150103701,"Alaska","Alces alces"
86931200,"2021-07-12",522193,40.4078712795,-105.8493137363,"Colorado","Alces alces"
127558862,"2022-06-14",522193,64.8130323081,-165.2141632069,"Alaska","Alces alces"
127560262,"2022-06-20",522193,64.6855869796,-165.7526610187,"Alaska","Alces alces"
147490732,"2022-02-21",415475,43.7289083333,-114.3706888889,"Idaho","Alces alces shirasi"
86943151,"2021-07-13",522193,40.3302244997,-106.0201706997,"Colorado","Alces alces"
27112657,"2019-06-09",522193,48.0902820948,-90.2811169023,"Minnesota","Alces alces"
127573891,"2022-07-17",522193,64.2828292847,-149.3641357422,"Alaska","Alces alces"
86949631,"2021-07-05",522193,48.681345,-113.5745789722,"Montana","Alces alces"
86949719,"2021-07-07",522193,43.9105037179,-110.5088605845,"Wyoming","Alces alces"
86949759,"2021-07-07",522193,43.9091653787,-110.5094721476,"Wyoming","Alces alces"
86949969,"2021-06-26",522193,62.587219,-150.236374,"Alaska","Alces alces"
86951267,"2021-07-13",522193,40.6470493135,-111.6133610153,"Utah","Alces alces"
6406607,"2017-05-28",522193,44.7799159649,-71.6830444336,"Vermont","Alces alces"
106800314,"2021-06-29",522193,45.8940611111,-69.6075833333,"Maine","Alces alces"
127589088,"2022-06-07",1404404,45.9146383333,-69.5224083333,"Maine","Alces alces americana"
6413685,"2017-05-28",522193,60.2700333333,-151.2165416667,"Alaska","Alces alces"
6415264,"2017-05-12",522193,40.3427932,-105.6836389,"Colorado","Alces alces"
6415938,"2017-05-14",522193,40.3427932,-105.6836389,"Colorado","Alces alces"
6416904,"2017-05-15",522193,40.3427932,-105.6836389,"Colorado","Alces alces"
106806761,"2021-12-19",522193,43.6509389691,-110.624408171,"Wyoming","Alces alces"
86971439,"2021-07-11",522193,44.837577545,-71.7062234133,"Vermont","Alces alces"
6421516,"2017-05-25",1404404,44.7642963299,-72.6106220484,"Vermont","Alces alces americana"
27136921,"2019-06-15",522193,47.5482716667,-116.3579866667,"Idaho","Alces alces"
6423630,"2009-07-01",522193,44.257566,-71.2536851,"New Hampshire","Alces alces"
